Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-10-30 00:00:00-04:00,581.2899780273438,583.3200073242188,579.2899780273438,580.010009765625,41435800,0.0,0.0,0.0
2024-10-31 00:00:00-04:00,575.5599975585938,575.6300048828125,568.4400024414062,568.6400146484375,60182500,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,571.3200073242188,575.5499877929688,570.6199951171875,571.0399780273438,45667500,0.0,0.0,0.0
2024-11-04 00:00:00-05:00,571.1799926757812,572.5,567.8900146484375,569.8099975585938,38217000,0.0,0.0,0.0
2024-11-05 00:00:00-05:00,570.739990234375,576.739990234375,570.52001953125,576.7000122070312,39478300,0.0,0.0,0.0
2024-11-06 00:00:00-05:00,589.2000122070312,591.9299926757812,585.3900146484375,591.0399780273438,68182000,0.0,0.0,0.0
2024-11-07 00:00:00-05:00,593.0800170898438,596.6500244140625,593.0,595.6099853515625,47233200,0.0,0.0,0.0
2024-11-08 00:00:00-05:00,596.1699829101562,599.6400146484375,596.1699829101562,598.1900024414062,46444900,0.0,0.0,0.0
2024-11-11 00:00:00-05:00,599.8099975585938,600.1699829101562,597.0,598.760009765625,37586800,0.0,0.0,0.0
2024-11-12 00:00:00-05:00,598.6799926757812,599.2899780273438,594.3699951171875,596.9000244140625,43006100,0.0,0.0,0.0
2024-11-13 00:00:00-05:00,597.3699951171875,599.22998046875,594.9600219726562,597.1900024414062,47388600,0.0,0.0,0.0
2024-11-14 00:00:00-05:00,597.3200073242188,597.8099975585938,592.6500244140625,593.3499755859375,38904100,0.0,0.0,0.0
2024-11-15 00:00:00-05:00,589.719970703125,590.2000122070312,583.8599853515625,585.75,75988800,0.0,0.0,0.0
2024-11-18 00:00:00-05:00,586.219970703125,589.489990234375,585.3400268554688,588.1500244140625,37084100,0.0,0.0,0.0
2024-11-19 00:00:00-05:00,584.7100219726562,591.0399780273438,584.030029296875,590.2999877929688,49412000,0.0,0.0,0.0
2024-11-20 00:00:00-05:00,590.3800048828125,590.7899780273438,584.6300048828125,590.5,50032600,0.0,0.0,0.0
2024-11-21 00:00:00-05:00,593.4000244140625,595.1199951171875,587.4500122070312,593.6699829101562,46750300,0.0,0.0,0.0
2024-11-22 00:00:00-05:00,593.6599731445312,596.1500244140625,593.1500244140625,595.510009765625,38226400,0.0,0.0,0.0
2024-11-25 00:00:00-05:00,599.52001953125,600.8599853515625,595.2000122070312,597.530029296875,42441400,0.0,0.0,0.0
2024-11-26 00:00:00-05:00,598.7999877929688,601.3300170898438,598.0700073242188,600.6500244140625,45621300,0.0,0.0,0.0
2024-11-27 00:00:00-05:00,600.4600219726562,600.8499755859375,597.280029296875,598.8300170898438,34000200,0.0,0.0,0.0
2024-11-29 00:00:00-05:00,599.6599731445312,603.3499755859375,599.3804931640625,602.5499877929688,23131030,0.0,0.0,0.0
